,group,name,stripes_acc,hexos_acc,acc,trial,task
43,predinet-l2-w_obj_selection,trial = 0,,,,0,1task_between
44,predinet-w_obj_selection,trial = 0,,,,0,1task_between
45,corelnet-tcn-w_obj_selection,trial = 0,,,,0,1task_between
46,corelnet-l2-w_obj_selection,trial = 0,,,,0,1task_between
47,corelnet-w_obj_selection,trial = 0,,,,0,1task_between
48,relconvnet-tcn-w_obj_selection,trial = 0,,,,0,1task_between
49,relconvnet-l2-w_obj_selection,trial = 0,,,,0,1task_between
50,relconvnet-w_obj_selection,trial = 0,,,,0,1task_between
51,predinet-w_obj_selection,trial = 0,,,,0,1task_between
52,corelnet-tcn-w_obj_selection,trial = 0,,,,0,1task_between
53,corelnet-l2-w_obj_selection,trial = 0,,,,0,1task_between
54,corelnet-w_obj_selection,trial = 0,,,,0,1task_between
55,relconvnet-tcn-w_obj_selection,trial = 0,,,,0,1task_between
56,relconvnet-l2,trial = 0,,,,0,1task_between
57,transformer-None-freeze_embedder,trial = 0,,,,0,1task_between
58,predinet-tcn-freeze_embedder,trial = 0,,,,0,1task_between
59,predinet-l2-freeze_embedder,trial = 0,,,,0,1task_between
60,corelnet-tcn-freeze_embedder,trial = 0,0.9995999932289124,0.9995999932289124,1.0,0,1task_between
61,corelnet-l2-freeze_embedder,trial = 0,0.8479999899864197,0.9315999746322632,0.9819999933242798,0,1task_between
62,relconvnet-tcn-freeze_embedder,trial = 0,,,,0,1task_between
63,relconvnet-l2-freeze_embedder,trial = 0,,,,0,1task_between
64,randomgroup_relconvnet,trial = 3,,,,3,1task_between
65,randomgroup_relconvnet,trial = 4,,,,4,1task_between
66,randomgroup_relconvnet,trial = 1,,,,1,1task_between
67,randomgroup_relconvnet,trial = 2,,,,2,1task_between
68,randomgroup_relconvnet,trial = 0,,,,0,1task_between
69,randomgroup_relconvnet,trial = 3,,,,3,1task_between
70,randomgroup_relconvnet,trial = 4,,,,4,1task_between
71,randomgroup_relconvnet,trial = 1,,,,1,1task_between
72,randomgroup_relconvnet,trial = 2,,,,2,1task_between
73,randomgroup_relconvnet,trial = 0,,,,0,1task_between
74,nofilter_relconvnet,trial = 4,0.973200023174286,0.9905999898910522,1.0,4,1task_between
75,nofilter_relconvnet,trial = 0,0.9753999710083008,0.9864000082015992,1.0,0,1task_between
76,nofilter_relconvnet,trial = 3,0.9926000237464904,0.9922000169754028,1.0,3,1task_between
77,nofilter_relconvnet,trial = 2,0.9747999906539916,0.9911999702453612,1.0,2,1task_between
78,nofilter_relconvnet,trial = 1,0.9513999819755554,0.996999979019165,1.0,1,1task_between
79,tcn_relconvnet,trial = 4,0.9955999851226808,0.996399998664856,1.0,4,1task_between
80,tcn_relconvnet,trial = 3,0.9825999736785888,0.9973999857902528,1.0,3,1task_between
81,tcn_relconvnet,trial = 2,0.996399998664856,0.9987999796867372,1.0,2,1task_between
82,tcn_relconvnet,trial = 0,0.9922000169754028,0.996399998664856,1.0,0,1task_between
83,tcn_relconvnet,trial = 1,0.9937999844551086,0.9973999857902528,1.0,1,1task_between
84,nosoftmax_corelnet,trial = 3,0.97979998588562,0.991599977016449,1.0,3,1task_between
85,nosoftmax_corelnet,trial = 4,0.9937999844551086,0.9937999844551086,1.0,4,1task_between
86,nosoftmax_corelnet,trial = 2,0.9710000157356262,0.9937999844551086,1.0,2,1task_between
87,nosoftmax_corelnet,trial = 1,0.9832000136375428,0.9914000034332277,1.0,1,1task_between
88,nosoftmax_corelnet,trial = 0,0.9965999722480774,0.9918000102043152,1.0,0,1task_between
89,tcn_corelnet,trial = 4,0.49880000948905945,0.5005999803543091,0.47600001096725464,4,1task_between
90,tcn_corelnet,trial = 3,0.49880000948905945,0.5005999803543091,0.47600001096725464,3,1task_between
91,tcn_corelnet,trial = 2,0.49880000948905945,0.5005999803543091,0.47600001096725464,2,1task_between
92,tcn_corelnet,trial = 1,0.49880000948905945,0.5005999803543091,0.47600001096725464,1,1task_between
93,tcn_corelnet,trial = 0,0.49880000948905945,0.5005999803543091,0.47600001096725464,0,1task_between
