group,name,epoch/epoch,epoch/loss,acc,_timestamp,epoch/acc,epoch/val_acc,_step,epoch/learning_rate,_wandb,epoch/val_loss,loss,_runtime,trial
gat,gat (trial = 2),99,0.6393563747406006,0.6491769552230835,1705879544.5941255,0.6269841194152832,0.6355452537536621,100,0.0010000000474974513,{'runtime': 61},0.6539551615715027,0.6397448182106018,61.913267612457275,2
gat,gat (trial = 1),99,0.6727747917175293,0.47788065671920776,1705879523.6700144,0.5552248954772949,0.5185185074806213,100,0.0010000000474974513,{'runtime': 46},0.6944934129714966,0.6975039839744568,46.90370440483093,1
gat,gat (trial = 0),99,0.673926591873169,0.5074588656425476,1705879393.7129402,0.5555004477500916,0.49871399998664856,100,0.0010000000474974513,{'runtime': 61},0.7036720514297485,0.6971973180770874,61.760831117630005,0
gcn,gcn (trial = 9),99,0.07941048592329025,0.6064814925193787,1705876824.733781,0.9716711044311525,0.599022626876831,100,0.0010000000474974513,{'runtime': 49},2.998619556427002,2.8334403038024902,49.52995944023132,9
gcn,gcn (trial = 8),99,0.08023116737604141,0.5961934328079224,1705876808.7576163,0.9711199402809144,0.5951645970344543,100,0.0010000000474974513,{'runtime': 39},2.8888280391693115,2.8939366340637207,40.240774393081665,8
gcn,gcn (trial = 7),99,0.013207795098423958,0.6095678806304932,1705876674.4921358,0.9985119104385376,0.6072530746459961,100,0.0010000000474974513,{'runtime': 49},2.577850818634033,2.7237708568573,49.682798862457275,7
gcn,gcn (trial = 6),99,0.08464007079601288,0.5923354029655457,1705876657.633931,0.969301164150238,0.5823045372962952,100,0.0010000000474974513,{'runtime': 40},3.0235605239868164,2.7407755851745605,40.40736198425293,6
gcn,gcn (trial = 5),99,0.01938197575509548,0.5900205969810486,1705876534.0583537,0.996638000011444,0.6057098507881165,100,0.0010000000474974513,{'runtime': 49},2.85062026977539,2.9000608921051025,54.34487175941467,5
gcn,gcn (trial = 4),99,0.09662754833698271,0.5797325372695923,1705876509.51184,0.963459014892578,0.5943930149078369,100,0.0010000000474974513,{'runtime': 40},2.548335075378418,2.7585084438323975,41.16282606124878,4
gcn,gcn (trial = 3),99,0.2068773508071899,0.5877057909965515,1705876379.4065611,0.9210758209228516,0.5879629850387573,100,0.0010000000474974513,{'runtime': 49},2.4016566276550293,2.4069700241088867,49.53158521652222,3
gcn,gcn (trial = 2),99,0.010282613337039948,0.595678985118866,1705876357.8737185,0.9991732835769652,0.6041666865348816,100,0.0010000000474974513,{'runtime': 40},2.790830612182617,2.7674269676208496,40.61409831047058,2
gcn,gcn (trial = 1),99,0.049755971878767014,0.5835905075073242,1705876230.9646173,0.9829695820808412,0.5853909254074097,100,0.0010000000474974513,{'runtime': 51},3.0004310607910156,3.234633684158325,51.9574031829834,1
gcn,gcn (trial = 0),99,0.008864694274961948,0.605967104434967,1705876216.9348006,0.9997795224189758,0.591821014881134,100,0.0010000000474974513,{'runtime': 45},2.7390711307525635,2.832270860671997,45.80637454986572,0
gru,gru (trial = 9),99,0.00016265649173874408,0.5753600597381592,1705871236.009742,1.0,0.5925925970077515,100,0.0010000000474974513,{'runtime': 23},4.028908729553223,4.212635517120361,23.80885910987854,9
gru,gru (trial = 8),99,0.0002427893778076395,0.6015946269035339,1705871216.1810827,1.0,0.584876537322998,100,0.0010000000474974513,{'runtime': 19},3.7707223892211914,3.650479555130005,20.16958284378052,8
gru,gru (trial = 7),99,0.00017896162171382457,0.6015946269035339,1705871191.5384836,1.0,0.5761317014694214,100,0.0010000000474974513,{'runtime': 28},4.365371227264404,3.847205877304077,28.823956727981567,7
